Company,Location,Industry,Date,Total Employees,Laid Off,Percentage,Department,Funds Raised,Stage
Palantir,US,Hardware,2022-09-27,22224,976.0,4.39,Marketing,2B,Series A
Company7,London,Hardware,2023-01-30,37059,860.0,2.32,Operations,100M,Series A
Company36,France,Social Media,2020-12-06,28912,1517.0,5.25,Operations,1B,Public
Company12,New York,Fintech,2024-02-12,42423,592.0,1.4,Engineering,100M,Series A
Company35,Canada,Fintech,2021-03-04,36184,2953.0,8.16,HR,5B+,IPO
Intel,Seattle,Cloud,2020-08-13,8039,,,HR,2B,IPO
Company20,Seattle,Social Media,24/03/2023,23286,1547.0,6.64,Sales,1B,Public
Company16,New York,Software,2023-07-04,35493,1597.0,4.5,Sales,1B,IPO
Company42,India,E-commerce,2023-09-18,40560,947.0,2.33,Product,1B,Public
Company17,Germany,E-commerce,2024-10-23,29185,533.0,1.83,Sales,500M,IPO
Company35,New York,Software,2025-08-14,48084,,,Engineering,500M,Public
Airbnb,,Software,2025-01-22,28409,1724.0,6.07,Product,5B+,Public
Company33,,E-commerce,2025-01-25,4188,395.0,9.43,Marketing,,IPO
Company6,US,Social Media,2020-05-27,23127,831.0,3.59,Design,,IPO
Company19,Germany,Hardware,2021-11-30,2541,215.0,8.46,Engineering,Not specified,Private
Company47,United States,Automotive,2021-07-12,18981,858.0,4.52,Sales,,Series A
Company7,India,Automotive,2022-10-13,21625,525.0,2.43,Engineering,500M,Series A
Uber,San Francisco,Software,2024-01-01,10765,408.0,3.79,Engineering,1B,IPO
Company23,Canada,Software,2021-06-24,38536,2336.0,6.06,Sales,2B,IPO
Company44,New York,Cloud,2022-11-25,31988,2730.0,8.53,Design,,Public
Company11,Seattle,Entertainment,2021-04-04,20447,513.0,2.51,Marketing,5B+,Private
Company22,San Francisco,Hardware,2021-07-28,30404,426.0,1.4,Product,Not specified,Series A
Meta,,Automotive,2025-12-21,23357,1230.0,5.27,HR,,Public
Company46,New York,Social Media,2023-09-10,28685,2629.0,9.17,Finance,500M,Public
Company8,US,Fintech,2025-03-22,12526,95.0,0.76,HR,500M,Public
Amazon,US,E-commerce,2023-05-19,38981,,,Design,2B,Public
Company6,New York,Cloud,2021-01-27,48800,2987.0,6.12,Sales,1B,Series A
Google,Germany,Cloud,2023-12-20,20088,1510.0,7.52,Product,1B,IPO
Company23,USA,Software,2025-10-27,17047,717.0,4.21,Product,100M,Public
Company47,New York,Automotive,2022-09-11,14908,470.0,3.15,Operations,2B,Series A
Company32,UK,Social Media,2023-06-30,48661,3424.0,7.04,Finance,2B,IPO
Zoom,India,E-commerce,2021-09-16,47930,671.0,1.4,Finance,5B+,IPO
Company10,India,Software,2022-04-28,12109,806.0,6.66,Finance,500M,Private
Company4,London,Cloud,2023-02-07,45427,538.0,1.18,Design,100M,Private
Palantir,,Software,2023-07-31,10864,592.0,5.45,Marketing,,Series A
Company39,Seattle,Social Media,2022-10-09,14397,748.0,5.2,HR,500M,IPO
Company9,United States,Software,2024-09-18,33734,,,Engineering,5B+,Series A
Company29,Canada,Cloud,04/03/2024,31473,2639.0,8.38,HR,100M,Series A
Tesla,,Hardware,2023-03-11,46227,1436.0,3.11,Sales,,IPO
Google,London,Entertainment,2025-02-06,17363,,,Finance,100M,IPO
Company30,,E-commerce,2022-08-10,17444,1196.0,6.86,Operations,100M,Private
Company19,,Software,2025-12-14,48469,954.0,1.97,Finance,500M,IPO
Company15,,Social Media,2024-12-27,19070,675.0,3.54,HR,2B,IPO
Company44,Canada,Hardware,2020-08-19,34826,2562.0,7.36,Sales,1B,Private
Company5,India,E-commerce,2021-11-19,37943,994.0,2.62,Product,100M,Public
Company11,San Francisco,Cloud,2023-08-10,48802,385.0,0.79,Design,500M,Private
Company39,US,Automotive,2025-07-04,37366,1536.0,4.11,Product,,IPO
Company3,New York,Automotive,2020-12-05,19755,560.0,2.83,Product,1B,Private
Twitter,Canada,Automotive,2025-06-05,11510,307.0,2.67,Marketing,,IPO
Company23,,Social Media,2024-09-04,10711,685.0,6.4,Sales,500M,Public
Company39,Germany,Fintech,2025-07-21,23538,756.0,3.21,Sales,100M,IPO
Amazon,London,Fintech,2021-06-04,23578,,,Design,500M,IPO
Zoom,London,Fintech,2021-03-15,19656,450.0,2.29,Finance,2B,Public
Company25,Canada,Fintech,2023-02-28,25276,2497.0,9.88,Design,1B,Public
Company36,London,Automotive,2021-11-15,48295,3115.0,6.45,Engineering,1B,Series A
Shopify,United States,E-commerce,2022-10-30,34697,3177.0,9.16,Engineering,5B+,Private
Microsoft,San Francisco,Automotive,2021-01-21,39634,3018.0,7.61,Design,,Series A
Company23,Seattle,E-commerce,2024-12-15,26570,712.0,2.68,HR,Not specified,IPO
Company35,France,Automotive,2025-08-30,37417,3107.0,8.3,Sales,5B+,Public
Tesla,UK,Software,2025-11-21,21372,266.0,1.24,Finance,100M,Private
Nvidia,Germany,E-commerce,2025-06-30,22734,1026.0,4.51,Finance,,Private
Zoom,Germany,Entertainment,2020-05-08,24192,806.0,3.33,Design,1B,Private
Snowflake,UK,Hardware,17/06/2024,23706,1785.0,7.53,Design,2B,Public
Company6,France,Cloud,17/12/2022,36851,930.0,2.52,Marketing,Not specified,Private
Company18,San Francisco,Automotive,2024-11-16,13873,265.0,1.91,HR,1B,Series A
Meta,New York,E-commerce,2021-06-16,40142,1918.0,4.78,Finance,500M,Private
Company40,London,Automotive,2021-05-05,12850,,,Sales,2B,Private
Company10,France,Fintech,2020-05-09,27483,1689.0,6.15,HR,500M,IPO
Company47,United States,Automotive,2023-07-20,22196,1410.0,6.35,HR,500M,Private
Company31,France,E-commerce,2020-09-12,1019,135.0,13.25,Design,100M,Series A
Company40,India,Hardware,2022-11-15,31209,324.0,1.04,Finance,1B,Public
Company27,India,Automotive,2022-09-17,44056,388.0,0.88,Design,500M,Series A
Company33,Germany,E-commerce,2023-11-04,9367,435.0,4.64,Engineering,2B,IPO
Uber,Seattle,Entertainment,2023-11-16,6289,390.0,6.2,HR,5B+,Public
Company32,India,Social Media,2023-03-18,12249,920.0,7.51,Engineering,5B+,Public
Company21,,Cloud,2024-03-21,11832,,,Finance,2B,Public
Company6,Germany,Entertainment,2022-03-16,11719,,,Sales,Not specified,IPO
Twitter,United States,Fintech,2022-07-07,16628,1479.0,8.89,Sales,,Public
Company50,United States,Hardware,2025-05-04,27957,877.0,3.14,Operations,Not specified,Private
Company29,London,Hardware,2021-11-03,36983,3657.0,9.89,HR,2B,Series A
Company37,USA,Social Media,2021-11-04,49336,3354.0,6.8,Engineering,500M,IPO
Company43,USA,Social Media,2024-12-20,6546,195.0,2.98,Product,5B+,Private
Company48,Germany,Entertainment,2022-04-01,7792,,,Sales,100M,Series A
Company29,India,Cloud,2023-03-05,43340,4339.0,10.01,Sales,5B+,IPO
Microsoft,US,Entertainment,2025-01-17,35206,,,Engineering,,IPO
Palantir,,E-commerce,2024-01-15,42992,1850.0,4.3,Marketing,,Series A
Company14,UK,Fintech,29/06/2021,33903,3225.0,9.51,Operations,,Series A
Company16,United States,Cloud,2020-05-16,42291,537.0,1.27,Engineering,5B+,Public
Stripe,,Automotive,2021-01-17,36120,1318.0,3.65,Marketing,,IPO
Company12,San Francisco,Automotive,2022-06-17,49431,2085.0,4.22,Product,,Public
Company33,Germany,Cloud,2021-07-31,45035,3371.0,7.49,Marketing,1B,Series A
Company23,,Social Media,2024-07-27,49698,1450.0,2.92,Sales,500M,Series A
Company21,New York,E-commerce,2021-02-02,1303,149.0,11.44,Operations,,Private
Company26,,Hardware,2021-05-14,14117,,,Finance,2B,Private
Company25,Canada,Automotive,2024-06-19,26708,607.0,2.27,Sales,5B+,Public
Company4,London,Fintech,2022-03-06,3922,102.0,2.6,Product,Not specified,Public
Company49,New York,Hardware,2020-12-30,2079,232.0,11.16,Finance,2B,IPO
Tesla,UK,Hardware,2021-02-02,28740,2483.0,8.64,Design,5B+,Private
Company1,,Cloud,2021-01-18,28050,868.0,3.09,Product,5B+,IPO
Company26,,Cloud,2021-01-21,28967,506.0,1.75,HR,,Series A
Company5,Germany,Hardware,2020-04-01,21592,,,Marketing,500M,Series A
Company43,,Entertainment,2023-07-30,27120,907.0,3.34,Sales,Not specified,Series A
Company38,Seattle,Social Media,2023-04-20,40373,1189.0,2.95,Marketing,1B,Public
Tesla,United States,E-commerce,2022-07-25,17940,266.0,1.48,Product,,IPO
Airbnb,US,Cloud,2025-03-23,18399,,,Sales,,Private
Company42,San Francisco,Software,2021-01-09,18661,,,Sales,Not specified,IPO
Company4,,Social Media,2022-11-20,23131,1519.0,6.57,Product,5B+,Series A
Company3,San Francisco,Social Media,2024-08-18,31924,266.0,0.83,HR,5B+,Private
Company23,UK,E-commerce,2023-04-06,8065,666.0,8.26,Engineering,,Series A
Netflix,,E-commerce,30/01/2025,34837,641.0,1.84,Engineering,500M,Public
Google,San Francisco,Fintech,2020-07-30,7654,449.0,5.87,Product,100M,Public
Intel,New York,E-commerce,25/03/2021,45231,2680.0,5.93,Engineering,500M,Series A
Company3,New York,Cloud,2020-02-09,30255,2232.0,7.38,HR,1B,Public
Company21,London,Cloud,2021-07-02,36361,2922.0,8.04,HR,Not specified,Private
Salesforce,India,Cloud,2021-04-27,28460,2479.0,8.71,Finance,5B+,Private
Company2,Germany,Social Media,2020-03-01,24412,59.0,0.24,Marketing,1B,Public
Company29,Canada,E-commerce,2025-06-09,24696,,,Sales,,Series A
Company37,UK,Social Media,2022-03-30,38634,,,Operations,,IPO
Netflix,,Entertainment,2024-03-08,10318,1011.0,9.8,Sales,Not specified,Series A
Company35,,Cloud,2022-03-02,35937,2368.0,6.59,Operations,100M,IPO
Company27,Seattle,Entertainment,2022-01-11,42999,4223.0,9.82,Operations,500M,Private
Company40,France,Social Media,2024-02-19,45067,2715.0,6.02,Engineering,100M,Series A
Company22,France,Hardware,2024-01-30,24991,2026.0,8.11,HR,100M,IPO
Company20,USA,Fintech,2025-06-16,15718,57.0,0.36,Sales,2B,IPO
Zoom,San Francisco,Automotive,16/05/2024,45748,2986.0,6.53,Design,Not specified,IPO
Company50,Canada,Software,2021-02-24,49372,4396.0,8.9,Product,2B,IPO
Company29,London,Social Media,2020-03-01,22573,601.0,2.66,HR,,Private
Meta,Germany,Software,2023-03-19,47367,735.0,1.55,Sales,2B,Public
Uber,Canada,Hardware,2024-10-20,5743,343.0,5.97,Product,,IPO
Company23,New York,Hardware,2024-12-31,24903,649.0,2.61,HR,,Series A
Company17,France,Cloud,2021-08-10,20743,631.0,3.04,Operations,Not specified,Private
Company48,Seattle,Automotive,2020-07-20,3076,42.0,1.37,Engineering,5B+,Public
Uber,US,Social Media,2021-12-20,12193,986.0,8.09,Engineering,500M,Series A
Company41,San Francisco,E-commerce,2021-09-21,47664,882.0,1.85,Marketing,2B,IPO
Company44,New York,Automotive,2025-01-05,15244,724.0,4.75,Marketing,,Series A
Stripe,France,Hardware,2025-08-02,40137,2700.0,6.73,Finance,1B,Public
Company21,India,Social Media,2023-03-06,1760,119.0,6.76,Sales,500M,IPO
Company29,Germany,Hardware,2021-12-23,40197,3995.0,9.94,Design,,Public
Company29,San Francisco,Cloud,2023-11-10,31929,1758.0,5.51,HR,5B+,Series A
Company15,London,Cloud,2023-06-06,10569,887.0,8.39,HR,5B+,IPO
Company25,France,Automotive,2021-07-28,46807,2396.0,5.12,Marketing,1B,Private
Company4,Seattle,Cloud,2025-04-05,38873,3616.0,9.3,Product,5B+,Series A
Salesforce,Seattle,E-commerce,2025-10-22,45518,314.0,0.69,Marketing,5B+,Public
Zoom,,Automotive,2021-12-06,28369,972.0,3.43,Marketing,,Public
Company38,San Francisco,Entertainment,2023-01-03,21150,1226.0,5.8,HR,Not specified,Public
Company15,UK,Fintech,2020-08-28,8307,516.0,6.21,Finance,2B,Public
Company20,UK,Fintech,2020-01-10,19051,653.0,3.43,Finance,2B,Public
Stripe,San Francisco,Fintech,2022-07-24,46487,3539.0,7.61,Engineering,5B+,IPO
Company47,India,Cloud,2023-09-14,3994,219.0,5.48,Design,2B,Public
Company20,India,Cloud,2022-12-10,23151,2100.0,9.07,Finance,100M,Series A
Company49,London,Fintech,2020-08-07,35285,3450.0,9.78,Finance,2B,Public
Company18,US,Hardware,2020-03-17,1658,93.0,5.61,Finance,5B+,Public
Company13,London,Hardware,2025-03-29,38116,2535.0,6.65,Finance,100M,IPO
Company11,USA,Hardware,2024-09-11,20053,75.0,0.37,Engineering,2B,Private
Company8,United States,Hardware,2022-10-25,23152,1879.0,8.12,Product,1B,Private
Company10,Seattle,Automotive,2023-11-08,15162,532.0,3.51,Sales,2B,IPO
Company50,France,Social Media,2025-08-21,27135,1373.0,5.06,Product,100M,Private
Company4,San Francisco,Fintech,2023-04-20,22677,1152.0,5.08,Sales,5B+,Public
Uber,London,Automotive,2025-05-14,16053,,,Marketing,500M,Series A
Oracle,Germany,Fintech,2021-05-07,22307,1970.0,8.83,Finance,100M,Public
Apple,Canada,Social Media,2020-10-14,17533,1168.0,6.66,Sales,,IPO
Meta,New York,Cloud,2024-07-04,38888,2307.0,5.93,Engineering,5B+,Public
Company27,Germany,Automotive,2025-10-07,28703,,,Operations,1B,Private
Company45,Canada,E-commerce,2025-02-16,30604,,,Engineering,2B,IPO
Apple,United States,Cloud,2025-12-30,40470,2462.0,6.08,Design,2B,IPO
Uber,US,Software,2023-10-16,12366,259.0,2.09,Operations,2B,Series A
Meta,United States,Social Media,2023-03-08,21901,1653.0,7.55,Design,100M,Public
Microsoft,,Entertainment,2023-06-23,41245,,,Product,5B+,Private
Company40,UK,Automotive,2025-03-23,34092,2301.0,6.75,Operations,2B,Private
Apple,India,Cloud,2021-11-29,20337,1368.0,6.73,HR,2B,Private
Company15,Canada,Automotive,2020-09-12,23733,,,HR,1B,IPO
Company8,New York,Entertainment,2025-06-05,31549,2904.0,9.2,Sales,1B,IPO
Snowflake,Seattle,Cloud,2021-01-12,42996,,,HR,500M,Public
Palantir,USA,Fintech,2022-09-11,32957,952.0,2.89,Product,5B+,Public
Company9,New York,Social Media,2022-02-21,1792,24.0,1.34,Finance,100M,IPO
Company31,USA,Software,2025-04-20,38502,1607.0,4.17,Operations,Not specified,IPO
Company48,,Software,2022-08-09,35370,839.0,2.37,Sales,Not specified,IPO
Tesla,USA,Fintech,2025-06-22,25737,1510.0,5.87,Operations,2B,IPO
Company5,US,Software,2022-08-14,47687,3184.0,6.68,Operations,Not specified,Public
Company4,US,Automotive,2020-02-05,30506,2424.0,7.95,Operations,Not specified,IPO
Company35,US,E-commerce,2024-03-17,4185,182.0,4.35,Product,100M,IPO
Uber,,Automotive,2020-12-03,16493,1316.0,7.98,Design,2B,Public
Company36,India,Automotive,2022-04-05,21317,,,Operations,2B,Private
Company11,France,Social Media,2021-11-29,27274,2509.0,9.2,Sales,5B+,Public
Company6,France,Software,2020-12-07,26463,163.0,0.62,Design,2B,Public
Airbnb,United States,Fintech,2022-05-24,23869,1663.0,6.97,Operations,Not specified,Series A
Company14,San Francisco,Entertainment,2024-01-30,34539,3258.0,9.43,Finance,Not specified,Private
Company8,US,Software,2020-06-11,29380,241.0,0.82,Product,2B,Series A
Company14,US,Automotive,2023-10-12,11745,,,Product,,Public
Company41,Canada,Hardware,2024-03-29,10759,278.0,2.58,Marketing,500M,Public
Intel,United States,Fintech,2024-01-14,48738,2797.0,5.74,Marketing,2B,IPO
Company17,,Entertainment,10/12/2020,15941,378.0,2.37,Finance,Not specified,Public
Amazon,San Francisco,Fintech,2024-03-26,15387,828.0,5.38,Sales,500M,Private
Nvidia,New York,Entertainment,2021-05-08,12920,97.0,0.75,Product,,Public
Company44,New York,Hardware,2021-04-28,29757,1213.0,4.08,Marketing,100M,Private
Shopify,US,Automotive,2025-04-01,4770,195.0,4.09,Operations,2B,Public
Company33,,Social Media,2024-04-28,10465,126.0,1.2,HR,5B+,IPO
DoorDash,USA,Cloud,2020-07-09,33237,2477.0,7.45,Product,5B+,Public
Company36,Canada,Software,2021-05-31,2193,170.0,7.75,Engineering,500M,IPO
DoorDash,London,Automotive,2022-10-30,43368,274.0,0.63,Product,5B+,IPO
Intel,Canada,Hardware,2022-12-02,14487,,,Design,1B,Private
Company32,India,Cloud,2023-05-24,26557,1968.0,7.41,Marketing,500M,IPO
Apple,San Francisco,Software,2022-06-01,8655,524.0,6.05,HR,500M,Series A
Company46,France,Entertainment,2021-04-15,26745,,,Design,2B,Public
Company24,US,Social Media,2025-09-02,14864,909.0,6.12,Design,5B+,Private
Google,UK,Social Media,2021-02-21,43676,,,Marketing,Not specified,Series A
Company19,France,Entertainment,2020-10-01,39079,21.0,0.05,Operations,1B,Private
Palantir,USA,Fintech,2021-06-25,46416,1662.0,3.58,Design,100M,IPO
Company18,India,Cloud,2023-04-28,19680,773.0,3.93,HR,,Series A
Nvidia,Canada,Social Media,2024-08-08,22380,1477.0,6.6,HR,,Public
Company40,San Francisco,Cloud,2022-01-25,41409,1781.0,4.3,Sales,5B+,Private
Company23,France,Entertainment,2024-10-14,16479,884.0,5.36,Product,5B+,Public
Company45,New York,Hardware,2023-12-16,33031,463.0,1.4,Finance,5B+,IPO
Apple,London,Automotive,2023-02-15,2301,65.0,2.82,Finance,1B,Private
Company44,Canada,Entertainment,2025-08-27,20396,1230.0,6.03,Marketing,100M,IPO
Company21,Germany,Software,2022-12-03,42506,1228.0,2.89,Sales,Not specified,Private
Google,Canada,Automotive,2025-05-22,7086,,,Product,5B+,IPO
Company13,USA,Fintech,2025-06-08,2031,60.0,2.95,Engineering,1B,Private
Company36,United States,Hardware,2021-10-02,9915,211.0,2.13,Product,,Series A
Company24,Canada,Social Media,2021-02-07,42473,1743.0,4.1,Sales,5B+,Public
Company27,New York,Social Media,2021-07-26,39596,423.0,1.07,Marketing,100M,IPO
Company8,United States,Cloud,2021-10-23,33210,463.0,1.39,Design,2B,Public
Company3,London,Entertainment,2021-11-18,12164,821.0,6.75,Sales,,Private
Company42,Seattle,E-commerce,2023-12-30,3988,465.0,11.66,Finance,100M,Public
Company16,Seattle,Automotive,2024-01-18,47719,3615.0,7.58,Design,Not specified,Series A
Airbnb,New York,E-commerce,2021-09-24,22545,1361.0,6.04,Product,5B+,IPO
Google,US,E-commerce,2021-08-26,11892,772.0,6.49,Finance,1B,Public
Oracle,Germany,E-commerce,2020-01-19,7123,274.0,3.85,Finance,2B,Series A
Company7,Seattle,E-commerce,2024-09-21,30126,2853.0,9.47,Engineering,5B+,IPO
Company26,,Software,2021-03-04,16105,1222.0,7.59,Design,2B,Series A
Airbnb,San Francisco,Automotive,2024-01-03,29562,2136.0,7.23,Sales,5B+,Public
DoorDash,San Francisco,Social Media,2020-07-08,2294,276.0,12.03,HR,Not specified,Private
Company30,Germany,Software,2024-01-30,6690,253.0,3.78,Finance,100M,Public
Company33,United States,Hardware,2021-12-26,46365,1755.0,3.79,Finance,100M,Private
Company35,Seattle,Entertainment,2025-08-26,5533,41.0,0.74,Marketing,1B,Public
Company36,London,Entertainment,2022-07-07,17006,,,Marketing,2B,Public
Company5,Seattle,Software,12/01/2025,46853,1115.0,2.38,Marketing,Not specified,Series A
Microsoft,,E-commerce,2020-12-28,4499,430.0,9.56,Engineering,2B,Series A
Company38,London,Software,2024-09-18,39599,1304.0,3.29,Product,Not specified,Private
Company41,London,Entertainment,2020-06-08,31262,2778.0,8.89,HR,100M,Private
Shopify,Seattle,E-commerce,2025-11-26,41670,1873.0,4.49,Design,100M,Private
Nvidia,,Hardware,2024-01-10,35268,3521.0,9.98,Engineering,Not specified,IPO
Palantir,Seattle,Cloud,2025-06-12,35675,790.0,2.21,Sales,2B,Public
Company47,San Francisco,Fintech,2021-08-18,18261,1162.0,6.36,Operations,100M,IPO
Company7,London,Software,2020-12-06,14785,368.0,2.49,Operations,500M,Public
Company46,France,Fintech,2025-11-28,40741,1742.0,4.28,Design,500M,Private
DoorDash,Germany,Entertainment,2021-09-09,10136,12.0,0.12,Engineering,500M,Public
Company17,India,Software,2025-03-08,33060,,,Marketing,100M,Series A
Company21,Seattle,Entertainment,2023-02-09,21130,77.0,0.36,Operations,2B,Series A
Company44,Germany,Fintech,2022-03-10,38271,1686.0,4.41,Design,,Series A
Snowflake,,Cloud,28/04/2025,20427,925.0,4.53,Finance,5B+,IPO
Company37,Germany,Entertainment,2021-12-15,22134,792.0,3.58,Finance,100M,Private
Company24,San Francisco,Software,2025-05-13,33822,1133.0,3.35,Product,100M,Public
Company22,France,E-commerce,2023-11-11,38845,2307.0,5.94,Product,Not specified,IPO
Twitter,,Cloud,2023-07-29,46977,3922.0,8.35,Marketing,,Private
Company14,France,Cloud,2024-01-31,16015,1638.0,10.23,Engineering,500M,IPO
Google,UK,Software,2023-11-30,40918,2319.0,5.67,HR,,Series A
Airbnb,Canada,Fintech,2021-09-28,43898,3038.0,6.92,Finance,100M,IPO
Company14,,Automotive,01/09/2022,28768,1250.0,4.35,Finance,Not specified,IPO
Company43,France,Entertainment,2022-04-11,11731,1194.0,10.18,Marketing,1B,Public
Company3,,Social Media,2022-11-17,22740,,,Marketing,,Private
Salesforce,USA,Cloud,2022-12-03,17767,286.0,1.61,Finance,1B,Public
Oracle,India,E-commerce,2025-05-05,34697,3101.0,8.94,Sales,500M,Series A
Company21,London,Software,2021-04-20,49302,3261.0,6.61,Engineering,500M,Series A
Company43,Germany,Software,2021-05-31,8017,661.0,8.24,HR,100M,IPO
Company16,India,Software,2020-11-27,32248,233.0,0.72,Operations,500M,IPO
Company2,France,Software,2025-01-17,30713,2035.0,6.63,Engineering,500M,Public
Netflix,Germany,Entertainment,2020-11-23,18118,502.0,2.77,Operations,100M,Private
Company12,Seattle,Entertainment,2025-03-03,25714,79.0,0.31,Sales,Not specified,IPO
Company14,France,Entertainment,2020-02-29,38958,3746.0,9.62,HR,Not specified,Series A
Google,Canada,Hardware,2023-09-11,43255,948.0,2.19,Finance,,IPO
Company27,,Social Media,2023-08-29,7611,654.0,8.59,Sales,5B+,Private
Company30,San Francisco,Fintech,2021-08-24,36533,726.0,1.99,Engineering,100M,Public
Company19,France,E-commerce,2024-02-13,15017,1446.0,9.63,Finance,Not specified,Public
Company14,India,E-commerce,26/11/2020,32752,2301.0,7.03,Finance,2B,Public
Oracle,India,Hardware,2021-07-16,27119,,,Marketing,500M,Public
Company14,Canada,Automotive,2023-12-01,49351,4280.0,8.67,HR,2B,IPO
Apple,London,Social Media,2022-05-22,44310,2749.0,6.2,Engineering,1B,Private
Company50,USA,Entertainment,2020-09-05,24970,982.0,3.93,HR,,Private
Company10,UK,Hardware,2025-07-03,22952,1681.0,7.32,Marketing,Not specified,IPO
DoorDash,India,Hardware,2023-04-29,2587,150.0,5.8,Marketing,500M,Private
Company4,,Social Media,2024-11-15,16923,1741.0,10.29,Design,500M,Public
Zoom,,Fintech,2023-05-16,46721,985.0,2.11,Engineering,5B+,Private
Company21,,Automotive,2020-01-11,8358,684.0,8.18,Sales,1B,Series A
Company50,,E-commerce,2020-06-21,29924,1442.0,4.82,Engineering,1B,Private
Salesforce,UK,Cloud,14/03/2021,43528,2063.0,4.74,Sales,500M,Series A
Company36,London,Software,2024-06-01,27199,1023.0,3.76,Operations,,Private
Company22,,Hardware,2022-10-13,22552,,,Design,5B+,Public
Tesla,San Francisco,Hardware,2024-11-04,25088,447.0,1.78,Operations,5B+,IPO
Company23,United States,Hardware,2024-07-13,47901,2785.0,5.81,Operations,Not specified,Series A
Snowflake,San Francisco,Hardware,2020-05-08,28312,1832.0,6.47,HR,1B,Series A
Company2,United States,Entertainment,2022-04-30,45874,2966.0,6.47,Design,,IPO
Company23,India,Social Media,2022-06-01,27886,1666.0,5.97,Operations,5B+,Series A
Company1,Canada,Social Media,2023-05-01,10260,198.0,1.93,Operations,500M,Series A
Company34,San Francisco,E-commerce,2024-08-10,39333,1564.0,3.98,Marketing,100M,Series A
Netflix,New York,Fintech,2022-06-18,5947,660.0,11.1,Finance,Not specified,Private
Company30,New York,Cloud,2020-11-02,6315,291.0,4.61,Marketing,Not specified,IPO
Company50,UK,Software,2021-05-15,27714,2607.0,9.41,Finance,,IPO
Nvidia,United States,Social Media,2025-01-07,13317,430.0,3.23,Sales,100M,Private
Company31,US,Software,2022-10-12,19836,1930.0,9.73,HR,,Series A
Company38,Canada,Entertainment,2024-01-12,4845,167.0,3.45,HR,5B+,Private
Company26,Canada,Software,2021-05-09,12101,811.0,6.7,Finance,Not specified,Series A
Company49,USA,Software,2020-05-18,42028,3573.0,8.5,Marketing,,IPO
Nvidia,United States,E-commerce,2023-08-14,10567,336.0,3.18,Operations,100M,Public
Company4,France,Hardware,2020-08-26,24053,2056.0,8.55,HR,2B,Private
Company49,France,Cloud,2022-10-13,18513,1107.0,5.98,Finance,,IPO
Intel,US,Entertainment,2021-09-30,5138,188.0,3.66,Finance,Not specified,Private
Company23,Seattle,Hardware,2023-07-27,42446,3742.0,8.82,Design,5B+,Private
Company29,India,Software,2021-12-25,5782,75.0,1.3,Operations,100M,Private
Nvidia,Canada,Cloud,2021-10-18,47477,1781.0,3.75,Finance,2B,Private
Intel,San Francisco,Software,2023-07-27,21968,955.0,4.35,Operations,1B,IPO
Company14,France,Hardware,2024-01-21,38204,1290.0,3.38,Marketing,1B,Private
Company7,US,E-commerce,2020-06-03,42211,2364.0,5.6,Finance,2B,Private
Company38,India,Automotive,2025-01-03,9380,619.0,6.6,Operations,Not specified,IPO
Apple,India,Software,2024-11-23,43517,2167.0,4.98,Engineering,2B,Series A
Company27,France,Entertainment,2022-01-01,4019,364.0,9.06,HR,2B,Series A
Snowflake,France,Cloud,2025-10-12,39076,816.0,2.09,Product,500M,Private
Company30,,Fintech,2024-05-10,13696,606.0,4.42,Sales,5B+,Public
Company30,US,Entertainment,2024-08-07,45250,1611.0,3.56,Design,5B+,Public
Company14,New York,Software,02/01/2024,14562,108.0,0.74,Design,2B,Private
Company46,United States,Hardware,2025-06-26,48299,3505.0,7.26,HR,,IPO
Company23,France,E-commerce,2022-05-12,25194,1978.0,7.85,Marketing,2B,Private
Company21,UK,Cloud,2023-07-30,23282,498.0,2.14,Marketing,Not specified,Series A
Company49,US,Fintech,2020-01-20,10455,881.0,8.43,Design,,Series A
Stripe,San Francisco,Fintech,2021-10-08,44185,4364.0,9.88,Product,,Private
Company40,London,Hardware,2024-08-15,8837,258.0,2.92,Sales,,Public
Company10,Germany,Hardware,2022-10-16,38260,116.0,0.3,Engineering,Not specified,Public
Company49,UK,Social Media,2020-05-23,36531,1404.0,3.84,Product,2B,Public
Shopify,New York,Software,2021-11-18,38117,670.0,1.76,HR,1B,IPO
Apple,Seattle,Automotive,2025-01-27,37731,1729.0,4.58,HR,,Series A
Company30,,Automotive,2024-05-02,31269,1064.0,3.4,Sales,5B+,IPO
Company50,,Fintech,2022-11-11,47314,3880.0,8.2,Sales,,Public
Company49,San Francisco,Social Media,2025-04-27,43503,4024.0,9.25,Product,Not specified,Private
Company10,United States,Cloud,2023-05-15,35354,1278.0,3.61,Finance,1B,Private
Company43,United States,E-commerce,2025-03-14,10522,360.0,3.42,Product,100M,Private
Company23,Germany,Software,2022-04-16,9126,,,Sales,100M,Private
Company48,,Software,2024-05-13,25605,335.0,1.31,Engineering,5B+,Public
Company13,San Francisco,E-commerce,2025-12-01,28621,,,Finance,1B,IPO
Company29,India,Software,2020-09-06,46452,1405.0,3.02,Product,100M,IPO
Company15,Canada,Fintech,2020-09-28,47644,2938.0,6.17,Finance,2B,Private
Snowflake,,Cloud,2021-01-01,14487,993.0,6.85,Engineering,5B+,Series A
Company19,US,E-commerce,2023-12-21,34939,2028.0,5.8,Product,Not specified,Private
Oracle,India,Software,2025-05-15,41149,,,Finance,5B+,Public
Company30,,Entertainment,2023-12-14,35234,2378.0,6.75,Marketing,,Private
