Company,Location,Industry,Date,Year,Total_Employees,Laid_Off,Layoff_Percentage,Department,Funds_Raised,Stage,Layoff_Intensity_Category,"Company_Size_Category
","Funding_Category
"
Snowflake,Unknown,Automotive,2020-06-02,2020,"38,656",1611,4.17%,Operations,Not Specified,Public,Low,Large,Unknown
Twitter,United States,Entertainment,2024-12-24,2024,"17,442",562,3.22%,Engineering,1B,IPO,Low,Medium,Late Stage
Company15,United Kingdom,Software,2021-12-09,2021,"21,998",2103,9.56%,HR,1B,IPO,Severe,Large,Late Stage
Company22,United States,Cloud,2024-09-07,2024,"8,512",756,8.88%,Sales,Not Specified,Private,Severe,Medium,Unknown
Company46,United States,Fintech,2021-10-29,2021,"26,692",870,3.26%,Operations,100M,Series A,Low,Large,Early Stage
Company6,United Kingdom,Social Media,2020-01-12,2020,"9,733",369,3.79%,Operations,5B+,Private,Low,Medium,Mature
Company45,Unknown,Social Media,2025-11-18,2025,"21,103",230,1.09%,Marketing,Not specified,IPO,Low,Large,Unknown
Company20,Unknown,Fintech,2025-01-01,2025,"11,905",406,3.41%,Design,2B,Series A,Low,Medium,Late Stage
Company1,United States,Cloud,2021-11-11,2021,"44,934",1673,3.72%,HR,Not specified,Public,Low,Large,Unknown
Company9,India,Automotive,2024-11-08,2024,"26,692",1989,7.45%,Design,5B+,Series A,High,Large,Mature
Microsoft,United States,Hardware,2024-12-10,2024,"2,982",160,5.37%,Design,Not Specified,IPO,Moderate,Small,Unknown
Company28,United States,Cloud,2025-11-23,2025,"35,725",2690,7.53%,HR,2B,Public,High,Large,Late Stage
Company42,United States,Cloud,2022-03-26,2022,"16,385",515,3.14%,Engineering,100M,Series A,Low,Medium,Early Stage
Company38,United States,Fintech,2020-02-20,2020,"33,980",938,2.76%,Sales,500M,Public,Low,Large,Growth Stage
Company5,Unknown,Fintech,2020-03-08,2020,"16,416",1038,6.32%,Operations,500M,Public,Moderate,Medium,Growth Stage
Company31,United Kingdom,Social Media,2021-12-31,2021,"6,607",588,8.90%,Marketing,2B,Private,Severe,Medium,Late Stage
Uber,United Kingdom,Entertainment,2021-10-10,2021,"40,132",NA,0.00%,Engineering,5B+,Public,Low,Large,Mature
Company21,United States,E-commerce,2021-02-25,2021,"43,443",319,0.73%,HR,100M,Private,Low,Large,Early Stage
Company8,Unknown,Automotive,2022-02-07,2022,"32,217",2634,8.18%,Sales,Not specified,IPO,Severe,Large,Unknown
Company11,United States,Social Media,2024-09-18,2024,"29,558",2559,8.66%,Product,Not Specified,Private,Severe,Large,Unknown
Company48,United States,Fintech,2023-10-19,2023,"29,925",NA,0.00%,Finance,5B+,Private,Low,Large,Mature
Company44,Canada,Cloud,2020-10-02,2020,"23,030",1439,6.25%,Engineering,100M,Series A,Moderate,Large,Early Stage
Company44,United Kingdom,Hardware,2023-01-26,2023,"24,807",2008,8.09%,Finance,Not specified,Private,Severe,Large,Unknown
Company6,United States,Hardware,2025-04-15,2025,"19,261",752,3.90%,Operations,100M,Series A,Low,Medium,Early Stage
Company17,United States,Entertainment,2022-10-10,2022,"44,923",4155,9.25%,Design,Not specified,Series A,Severe,Large,Unknown
Tesla,India,Entertainment,2022-10-25,2022,"8,310",NA,0.00%,Design,1B,IPO,Low,Medium,Late Stage
Company5,Canada,Cloud,2025-02-12,2025,"16,299",85,0.52%,Finance,Not Specified,Series A,Low,Medium,Unknown
Company19,United States,Entertainment,2021-07-24,2021,"13,693",1116,8.15%,HR,2B,Private,Severe,Medium,Late Stage
Apple,United States,Fintech,2024-03-14,2024,"42,209",609,1.44%,Product,1B,Series A,Low,Large,Late Stage
Amazon,United Kingdom,Fintech,2025-02-24,2025,"36,324",3546,9.76%,Sales,5B+,Public,Severe,Large,Mature
Company38,United States,Hardware,2020-05-10,2020,"21,566",447,2.07%,Design,100M,Public,Low,Large,Early Stage
Company30,Unknown,E-commerce,2025-10-21,2025,"24,814",1679,6.77%,Finance,500M,Public,Moderate,Large,Growth Stage
Company47,Unknown,Entertainment,2023-06-27,2023,"6,806",421,6.19%,Finance,100M,Series A,Moderate,Medium,Early Stage
Company18,France,Social Media,2021-06-24,2021,"40,643",3032,7.46%,Engineering,5B+,Private,High,Large,Mature
Company4,United States,Automotive,2025-03-31,2025,"29,831",1080,3.62%,Marketing,5B+,Private,Low,Large,Mature
Company29,Unknown,Cloud,2022-07-27,2022,"44,593",1011,2.27%,Product,Not specified,Private,Low,Large,Unknown
Company27,United States,E-commerce,2021-03-20,2021,"14,454",372,2.57%,Engineering,500M,Series A,Low,Medium,Growth Stage
Netflix,United States,E-commerce,2021-02-13,2021,"37,843",1128,2.98%,Design,2B,Private,Low,Large,Late Stage
Company50,United States,Software,2021-05-09,2021,"39,673",3356,8.46%,Design,100M,IPO,Severe,Large,Early Stage
Company11,United States,Entertainment,2021-06-10,2021,"37,025",991,2.68%,Sales,1B,Private,Low,Large,Late Stage
Uber,United States,Cloud,2025-04-04,2025,"38,649",3413,8.83%,Operations,100M,IPO,Severe,Large,Early Stage
Company33,United States,E-commerce,2025-02-21,2025,"16,852",1212,7.19%,Marketing,Not Specified,Series A,High,Medium,Unknown
Company16,United Kingdom,E-commerce,2021-08-16,2021,"18,105",1769,9.77%,Marketing,1B,Series A,Severe,Medium,Late Stage
Company2,United States,Hardware,2022-10-11,2022,"20,192",1234,6.11%,Engineering,5B+,Private,Moderate,Large,Mature
Company40,Canada,Entertainment,2021-01-05,2021,"27,252",2326,8.54%,Operations,Not specified,Public,Severe,Large,Unknown
Twitter,United States,Hardware,2021-09-09,2021,"34,181",440,1.29%,Operations,Not specified,Private,Low,Large,Unknown
DoorDash,Canada,Hardware,2023-10-20,2023,"37,725",2004,5.31%,HR,500M,Public,Moderate,Large,Growth Stage
Company19,United States,Fintech,2023-08-26,2023,"5,923",317,5.35%,Finance,2B,Series A,Moderate,Medium,Late Stage
Nvidia,United States,Social Media,2020-09-06,2020,"26,368",2322,8.81%,Operations,Not Specified,Series A,Severe,Large,Unknown
Company10,United States,Hardware,2025-02-25,2025,"12,284",NA,0.00%,Product,Not Specified,Private,Low,Medium,Unknown
Tesla,Germany,E-commerce,2024-06-29,2024,"9,989",903,9.04%,Operations,2B,IPO,Severe,Medium,Late Stage
Nvidia,Unknown,Entertainment,2022-05-10,2022,"17,489",902,5.16%,HR,100M,IPO,Moderate,Medium,Early Stage
Company38,Germany,Hardware,2024-05-26,2024,"4,970",444,8.93%,HR,1B,IPO,Severe,Small,Late Stage
Microsoft,United States,Cloud,2020-09-21,2020,"3,037",62,2.04%,Operations,100M,Series A,Low,Small,Early Stage
Company38,United States,Automotive,2021-01-12,2021,"24,813",NA,0.00%,Product,1B,Series A,Low,Large,Late Stage
Company44,United Kingdom,Social Media,2023-08-17,2023,"9,562",121,1.27%,Design,500M,IPO,Low,Medium,Growth Stage
Salesforce,United Kingdom,Cloud,2020-09-12,2020,"30,401",2631,8.65%,Product,100M,Public,Severe,Large,Early Stage
Uber,France,Software,2020-10-15,2020,"23,770",206,0.87%,Engineering,500M,Series A,Low,Large,Growth Stage
Company37,United States,Cloud,2020-06-28,2020,"21,439",1058,4.93%,Sales,2B,Private,Low,Large,Late Stage
Company31,Unknown,Cloud,2022-04-24,2022,"13,943",27,0.19%,Engineering,5B+,Public,Low,Medium,Mature
Company32,United States,Software,2021-09-13,2021,"25,549",1790,7.01%,Sales,Not specified,Public,High,Large,Unknown
Amazon,United Kingdom,Hardware,2021-08-16,2021,"12,818",1271,9.92%,Operations,5B+,Public,Severe,Medium,Mature
Salesforce,United States,Social Media,2025-05-05,2025,"37,837",3195,8.44%,Sales,500M,Series A,Severe,Large,Growth Stage
Company11,United Kingdom,Automotive,2024-08-20,2024,"33,737",1311,3.89%,Sales,Not Specified,Private,Low,Large,Unknown
Nvidia,United Kingdom,Cloud,2024-01-22,2024,"49,469",4144,8.38%,Finance,500M,Public,Severe,Large,Growth Stage
Company43,India,Automotive,2020-10-11,2020,"45,324",494,1.09%,HR,Not specified,IPO,Low,Large,Unknown
Company45,United States,Cloud,2023-09-21,2023,"42,716",2878,6.74%,Engineering,Not specified,Public,Moderate,Large,Unknown
Amazon,United States,Software,2023-06-03,2023,"9,253",431,4.66%,Product,500M,Private,Low,Medium,Growth Stage
Company25,India,Entertainment,2022-05-30,2022,"15,855",NA,0.00%,Marketing,500M,Series A,Low,Medium,Growth Stage
Uber,United States,Social Media,2025-08-10,2025,"19,008",1621,8.53%,Design,1B,IPO,Severe,Medium,Late Stage
Company20,Canada,Automotive,2020-03-28,2020,"2,408",250,10.38%,Product,2B,Series A,Severe,Small,Late Stage
Company35,France,Hardware,2021-01-31,2021,"28,228",2384,8.45%,Sales,5B+,Public,Severe,Large,Mature
Company25,United States,Software,2022-06-01,2022,"22,624",1851,8.18%,Sales,1B,IPO,Severe,Large,Late Stage
Oracle,United States,Social Media,2022-07-26,2022,"31,441",2390,7.60%,HR,100M,Private,High,Large,Early Stage
Company11,United States,Hardware,2025-04-14,2025,"26,988",950,3.52%,Engineering,Not Specified,Private,Low,Large,Unknown
Company30,United States,Hardware,2020-07-23,2020,"31,160",1687,5.41%,Product,2B,Private,Moderate,Large,Late Stage
Company50,Unknown,Entertainment,2023-01-09,2023,"24,621",688,2.79%,Engineering,500M,Private,Low,Large,Growth Stage
Palantir,India,Software,2024-05-02,2024,"18,748",933,4.98%,Sales,Not specified,Private,Low,Medium,Unknown
Company50,Unknown,Cloud,2025-07-08,2025,"44,388",NA,0.00%,Engineering,Not specified,IPO,Low,Large,Unknown
Company2,Germany,Social Media,2025-01-29,2025,"36,497",2710,7.43%,Marketing,5B+,Series A,High,Large,Mature
Company37,Canada,Cloud,2021-08-08,2021,"11,991",1122,9.36%,HR,1B,Private,Severe,Medium,Late Stage
Company42,United States,Cloud,2021-04-05,2021,"37,145",NA,0.00%,Operations,2B,IPO,Low,Large,Late Stage
Company37,Canada,Social Media,2023-04-20,2023,"2,658",NA,0.00%,Finance,500M,Public,Low,Small,Growth Stage
Company5,Canada,Software,2024-11-07,2024,"18,138",466,2.57%,Marketing,Not Specified,Private,Low,Medium,Unknown
Company30,Unknown,Fintech,2020-05-19,2020,"40,034",3237,8.09%,Operations,100M,Private,Severe,Large,Early Stage
Nvidia,United States,E-commerce,2023-02-05,2023,"44,554",3440,7.72%,Sales,500M,Series A,High,Large,Growth Stage
Company1,France,Entertainment,2025-08-23,2025,"23,398",NA,0.00%,Operations,1B,Public,Low,Large,Late Stage
Company17,Unknown,Hardware,2023-04-10,2023,"16,419",771,4.70%,Sales,Not Specified,Public,Low,Medium,Unknown
Company37,United Kingdom,Software,2025-09-01,2025,"2,359",237,10.05%,HR,5B+,Private,Severe,Small,Mature
Company47,Germany,Automotive,2021-06-13,2021,"25,509",1617,6.34%,Engineering,1B,Private,Moderate,Large,Late Stage
Shopify,United States,Automotive,2020-08-13,2020,"5,441",87,1.60%,Operations,100M,Series A,Low,Medium,Early Stage
Netflix,United States,Fintech,2021-09-28,2021,"4,454",391,8.78%,Engineering,Not Specified,Public,Severe,Small,Unknown
Company37,United States,Cloud,2022-07-04,2022,"18,916",1086,5.74%,Design,5B+,Series A,Moderate,Medium,Mature
Company31,Unknown,Automotive,2023-12-12,2023,"43,746",2222,5.08%,Operations,1B,Series A,Moderate,Large,Late Stage
Company41,Canada,Fintech,2023-03-08,2023,"23,763",1614,6.79%,Operations,2B,Series A,Moderate,Large,Late Stage
Company27,United Kingdom,Cloud,2020-01-14,2020,"32,127",350,1.09%,Marketing,100M,Series A,Low,Large,Early Stage
Company7,United Kingdom,Cloud,2021-09-28,2021,"24,560",179,0.73%,Operations,100M,IPO,Low,Large,Early Stage
Company23,United States,Automotive,2025-04-19,2025,"48,565",1922,3.96%,HR,100M,Private,Low,Large,Early Stage
Company44,United States,Entertainment,2024-08-14,2024,"30,613",2683,8.76%,Operations,1B,Series A,Severe,Large,Late Stage
Company28,United Kingdom,Software,2020-12-01,2020,"16,330",1267,7.76%,Design,500M,Public,High,Medium,Growth Stage
Google,France,Cloud,2021-09-13,2021,"7,473",217,2.90%,Product,2B,IPO,Low,Medium,Late Stage
Company11,United States,Entertainment,2025-12-03,2025,"7,683",396,5.15%,Sales,5B+,Public,Moderate,Medium,Mature
Company22,Canada,Social Media,2024-02-15,2024,"17,491",1107,6.33%,Design,500M,Public,Moderate,Medium,Growth Stage
Company31,United States,Fintech,2022-05-09,2022,"36,466",1704,4.67%,Engineering,2B,IPO,Low,Large,Late Stage
Amazon,France,Hardware,2023-02-15,2023,"41,576",839,2.02%,Design,100M,Series A,Low,Large,Early Stage
Apple,United States,Hardware,2022-07-17,2022,"43,144",1977,4.58%,HR,Not specified,Private,Low,Large,Unknown
Tesla,United States,Entertainment,2023-05-23,2023,"35,489",174,0.49%,Operations,2B,IPO,Low,Large,Late Stage
Google,Unknown,Fintech,2023-09-28,2023,"4,512",278,6.16%,Engineering,1B,Series A,Moderate,Small,Late Stage
Company29,United Kingdom,Software,2020-03-12,2020,"23,951",74,0.31%,Product,100M,Private,Low,Large,Early Stage
Company38,United States,Social Media,2020-02-05,2020,"6,445",642,9.96%,Product,2B,Public,Severe,Medium,Late Stage
Company20,Unknown,Hardware,2024-01-30,2024,"34,722",NA,0.00%,HR,500M,Series A,Low,Large,Growth Stage
Company10,France,Entertainment,2022-02-27,2022,"27,974",2563,9.16%,Sales,Not specified,Private,Severe,Large,Unknown
Company20,United Kingdom,Automotive,2023-07-16,2023,"9,444",298,3.16%,Operations,100M,Public,Low,Medium,Early Stage
Company42,Unknown,Entertainment,2021-08-20,2021,"49,218",NA,0.00%,Sales,500M,Private,Low,Large,Growth Stage
Company29,United Kingdom,Social Media,2023-06-18,2023,"13,039",1170,8.97%,Finance,Not specified,Public,Severe,Medium,Unknown
Company34,Unknown,Fintech,2021-07-19,2021,"9,645",628,6.51%,Finance,5B+,Private,Moderate,Medium,Mature
Company25,United States,E-commerce,2024-08-20,2024,"5,942",234,3.94%,Engineering,2B,Private,Low,Medium,Late Stage
Company14,Germany,E-commerce,2025-11-10,2025,"20,567",1448,7.04%,Finance,Not Specified,IPO,High,Large,Unknown
Amazon,Canada,Automotive,2023-05-03,2023,"12,152",NA,0.00%,Marketing,Not Specified,Series A,Low,Medium,Unknown
Company20,United Kingdom,Hardware,2021-05-12,2021,"10,402",670,6.44%,Product,Not specified,Private,Moderate,Medium,Unknown
Company40,Unknown,Cloud,2020-10-07,2020,"4,447",452,10.16%,Engineering,2B,IPO,Severe,Small,Late Stage
Company41,Unknown,Entertainment,2023-08-21,2023,"17,078",1210,7.09%,Product,Not Specified,Series A,High,Medium,Unknown
Nvidia,India,Hardware,2023-12-11,2023,"45,194",2287,5.06%,Product,5B+,IPO,Moderate,Large,Mature
Company27,India,Cloud,2024-01-16,2024,"13,178",34,0.26%,Operations,500M,IPO,Low,Medium,Growth Stage
Company1,Germany,Cloud,2023-11-04,2023,"46,013",NA,0.00%,Marketing,Not specified,IPO,Low,Large,Unknown
Company30,United Kingdom,Software,2020-07-05,2020,"3,451",340,9.85%,Operations,Not Specified,IPO,Severe,Small,Unknown
Company43,United States,Social Media,2023-02-22,2023,"43,362",4359,10.05%,Operations,1B,Private,Severe,Large,Late Stage
Company22,United Kingdom,Hardware,2020-11-15,2020,"12,173",613,5.04%,Operations,100M,IPO,Moderate,Medium,Early Stage
Company5,Canada,Fintech,2020-02-25,2020,"20,093",1135,5.65%,Marketing,100M,Private,Moderate,Large,Early Stage
DoorDash,United Kingdom,Software,2025-04-04,2025,"42,792",1471,3.44%,Operations,500M,Public,Low,Large,Growth Stage
Company30,United States,Fintech,2022-05-14,2022,"42,733",552,1.29%,Design,5B+,Private,Low,Large,Mature
Netflix,France,Social Media,2022-02-24,2022,"5,507",162,2.94%,Engineering,Not Specified,Private,Low,Medium,Unknown
Zoom,Unknown,Automotive,2020-05-16,2020,"18,676",NA,0.00%,Marketing,1B,Series A,Low,Medium,Late Stage
Oracle,United States,Entertainment,2022-01-30,2022,"42,907",3748,8.74%,Engineering,Not specified,Series A,Severe,Large,Unknown
Company19,Unknown,Hardware,2025-12-25,2025,"10,088",64,0.63%,Marketing,5B+,Private,Low,Medium,Mature
Company12,United States,Hardware,2021-04-25,2021,"7,466",631,8.45%,Finance,1B,Series A,Severe,Medium,Late Stage
Company39,United States,E-commerce,2022-04-29,2022,"20,903",1282,6.13%,Design,500M,Series A,Moderate,Large,Growth Stage
Microsoft,United States,Software,2024-04-16,2024,"28,796",1402,4.87%,Operations,500M,Public,Low,Large,Growth Stage
Company49,Unknown,Automotive,2023-02-08,2023,"23,705",862,3.64%,Engineering,Not specified,IPO,Low,Large,Unknown
Company23,Unknown,Entertainment,2021-12-14,2021,"1,400",94,6.71%,Finance,100M,Private,Moderate,Small,Early Stage
Company37,United Kingdom,Entertainment,2024-08-09,2024,"32,095",2524,7.86%,HR,5B+,Private,High,Large,Mature
Company45,Unknown,Automotive,2025-09-12,2025,"44,081",506,1.15%,Operations,500M,IPO,Low,Large,Growth Stage
Company10,United States,Automotive,2025-03-28,2025,"14,193",946,6.67%,Design,2B,Private,Moderate,Medium,Late Stage
Company1,Unknown,Software,2025-12-09,2025,"11,796",375,3.18%,Design,Not Specified,IPO,Low,Medium,Unknown
Company31,United States,Hardware,2022-08-08,2022,"35,648",219,0.61%,Finance,5B+,IPO,Low,Large,Mature
Company24,United States,Cloud,2020-12-13,2020,"17,321",1126,6.50%,Design,5B+,IPO,Moderate,Medium,Mature
Company45,Canada,Hardware,2023-07-25,2023,"27,979",2656,9.49%,Product,5B+,IPO,Severe,Large,Mature
Company50,United States,Hardware,2023-09-18,2023,"12,855",264,2.05%,HR,5B+,Series A,Low,Medium,Mature
Nvidia,Unknown,Cloud,2022-04-24,2022,"4,389",252,5.74%,HR,500M,Private,Moderate,Small,Growth Stage
Company31,United Kingdom,Cloud,2023-04-19,2023,"10,327",238,2.30%,Product,2B,Public,Low,Medium,Late Stage
Company27,Unknown,Fintech,2022-12-31,2022,"25,369",589,2.32%,HR,100M,Private,Low,Large,Early Stage
Company43,United States,Fintech,2023-10-21,2023,"31,346",282,0.90%,HR,5B+,Series A,Low,Large,Mature
Apple,Germany,Fintech,2020-08-16,2020,"18,357",1408,7.67%,Design,Not Specified,Series A,High,Medium,Unknown
Palantir,United States,Cloud,2023-04-18,2023,"2,832",NA,0.00%,HR,100M,IPO,Low,Small,Early Stage
Airbnb,United Kingdom,Software,2024-09-20,2024,"32,437",1549,4.78%,Marketing,Not Specified,Public,Low,Large,Unknown
Company8,United States,Hardware,2020-05-28,2020,"14,027",531,3.79%,Engineering,2B,IPO,Low,Medium,Late Stage
Zoom,Unknown,Cloud,2023-07-23,2023,"1,796",30,1.67%,Design,5B+,IPO,Low,Small,Mature
Company50,India,Social Media,2020-04-16,2020,"49,940",3280,6.57%,Engineering,100M,IPO,Moderate,Large,Early Stage
Company38,Unknown,Hardware,2021-09-09,2021,"33,500",2856,8.53%,HR,Not specified,Series A,Severe,Large,Unknown
Company4,India,Entertainment,2022-02-09,2022,"42,148",NA,0.00%,Engineering,1B,Public,Low,Large,Late Stage
Company4,United States,Cloud,2021-03-25,2021,"42,247",2098,4.97%,HR,500M,Private,Low,Large,Growth Stage
Company41,France,Entertainment,2024-09-07,2024,"43,654",NA,0.00%,Design,5B+,Private,Low,Large,Mature
Company5,United Kingdom,Hardware,2025-06-30,2025,"13,491",32,0.24%,Design,500M,IPO,Low,Medium,Growth Stage
Company4,United States,E-commerce,2024-03-31,2024,"5,960",504,8.46%,Finance,1B,Private,Severe,Medium,Late Stage
Company40,Germany,Hardware,2025-01-01,2025,"25,386",NA,0.00%,Product,2B,IPO,Low,Large,Late Stage
Company11,Unknown,Software,2020-06-11,2020,"6,620",219,3.31%,Design,1B,Public,Low,Medium,Late Stage
Company50,Unknown,Fintech,2025-09-06,2025,"39,379",NA,0.00%,HR,5B+,Series A,Low,Large,Mature
Company35,India,Hardware,2020-05-05,2020,"10,335",75,0.73%,Product,1B,Private,Low,Medium,Late Stage
Company48,United States,Entertainment,2023-09-09,2023,"36,200",780,2.15%,HR,Not specified,Series A,Low,Large,Unknown
Company26,Unknown,Automotive,2020-05-07,2020,"45,013",3343,7.43%,Operations,Not Specified,Series A,High,Large,Unknown
Company21,United States,Cloud,2022-06-21,2022,"21,827",944,4.32%,Engineering,500M,Public,Low,Large,Growth Stage
Company27,United States,Software,2024-06-13,2024,"34,902",1443,4.13%,Product,1B,Private,Low,Large,Late Stage
Company45,United States,Hardware,2024-02-13,2024,"17,249",585,3.39%,Sales,1B,IPO,Low,Medium,Late Stage
Company45,Germany,Automotive,2023-08-01,2023,"45,713",1966,4.30%,Marketing,500M,IPO,Low,Large,Growth Stage
Shopify,India,E-commerce,2024-08-04,2024,"10,524",341,3.24%,Product,100M,Series A,Low,Medium,Early Stage
Nvidia,United States,Hardware,2025-01-21,2025,"12,432",1080,8.69%,Finance,5B+,Private,Severe,Medium,Mature
Company30,United States,Entertainment,2020-03-13,2020,"16,290",1600,9.82%,Finance,2B,IPO,Severe,Medium,Late Stage
Company49,Unknown,Automotive,2022-11-10,2022,"40,205",1287,3.20%,Design,2B,IPO,Low,Large,Late Stage
Twitter,United States,Fintech,2023-02-15,2023,"39,655",1731,4.37%,Design,500M,Public,Low,Large,Growth Stage
Company11,United States,E-commerce,2024-09-15,2024,"45,333",3201,7.06%,Marketing,2B,Public,High,Large,Late Stage
Intel,Germany,Hardware,2025-12-12,2025,"23,641",2277,9.63%,Design,500M,Public,Severe,Large,Growth Stage
Company17,United States,Hardware,2023-04-05,2023,"15,434",523,3.39%,Finance,1B,Private,Low,Medium,Late Stage
Intel,Unknown,Entertainment,2024-01-05,2024,"42,553",1936,4.55%,HR,1B,Public,Low,Large,Late Stage
Company34,United States,Hardware,2024-08-25,2024,"3,155",99,3.14%,Product,500M,Private,Low,Small,Growth Stage
Company31,Unknown,E-commerce,2021-04-24,2021,"18,711",401,2.14%,Product,Not specified,Series A,Low,Medium,Unknown
Company43,India,Software,2023-07-07,2023,"40,015",3183,7.95%,Engineering,500M,Private,High,Large,Growth Stage
Meta,France,Entertainment,2020-08-15,2020,"25,335",504,1.99%,Marketing,5B+,Series A,Low,Large,Mature
Microsoft,United States,Entertainment,2021-08-04,2021,"48,651",3065,6.30%,Marketing,2B,Public,Moderate,Large,Late Stage
Company21,United Kingdom,Software,2021-10-27,2021,"38,153",NA,0.00%,Sales,500M,Series A,Low,Large,Growth Stage
Company25,Unknown,Fintech,2025-04-30,2025,"21,955",963,4.39%,Engineering,2B,Series A,Low,Large,Late Stage
Company27,United States,Automotive,2022-06-22,2022,"5,574",466,8.36%,Product,Not Specified,Private,Severe,Medium,Unknown
Company11,United States,E-commerce,2023-09-25,2023,"38,999",3391,8.70%,Operations,Not specified,IPO,Severe,Large,Unknown
Company24,United States,Automotive,2022-05-25,2022,"14,665",171,1.17%,Marketing,100M,Series A,Low,Medium,Early Stage
Intel,Canada,Cloud,2025-05-29,2025,"46,805",2402,5.13%,Engineering,Not specified,IPO,Moderate,Large,Unknown
Company25,United States,Cloud,2023-10-22,2023,"2,849",74,2.60%,HR,Not specified,Private,Low,Small,Unknown
Company40,United Kingdom,Automotive,2024-12-19,2024,"17,279",1167,6.75%,Sales,1B,Private,Moderate,Medium,Late Stage
Company35,Unknown,E-commerce,2020-06-10,2020,"23,259",247,1.06%,Finance,Not specified,Public,Low,Large,Unknown
Company43,United States,E-commerce,2020-07-22,2020,"33,786",3188,9.44%,Engineering,500M,Public,Severe,Large,Growth Stage
Company45,United States,Hardware,2021-10-20,2021,"26,587",2136,8.03%,Product,5B+,Series A,Severe,Large,Mature
Company31,United States,Software,2025-09-28,2025,"26,189",2477,9.46%,Engineering,500M,Public,Severe,Large,Growth Stage
DoorDash,Unknown,Fintech,2020-05-05,2020,"26,654",2362,8.86%,Engineering,Not Specified,IPO,Severe,Large,Unknown
Company27,India,Cloud,2025-01-07,2025,"6,295",NA,0.00%,Operations,5B+,Private,Low,Medium,Mature
Company13,United States,Cloud,2020-09-30,2020,"34,805",80,0.23%,Sales,100M,Private,Low,Large,Early Stage
Company37,Unknown,Software,2022-03-15,2022,"4,895",392,8.01%,Operations,2B,Private,Severe,Small,Late Stage
Oracle,United States,E-commerce,2021-03-27,2021,"36,807",3647,9.91%,HR,5B+,Public,Severe,Large,Mature
Company35,United States,Social Media,2020-02-16,2020,"2,892",244,8.44%,Product,100M,Series A,Severe,Small,Early Stage
Company15,United States,Social Media,2023-09-16,2023,"21,221",672,3.17%,Operations,Not specified,Public,Low,Large,Unknown
Oracle,United States,Hardware,2020-06-27,2020,"10,950",403,3.68%,Product,100M,Public,Low,Medium,Early Stage
Company30,United Kingdom,Entertainment,2021-02-08,2021,"48,346",3381,6.99%,Sales,Not specified,Series A,Moderate,Large,Unknown
Company3,Unknown,Software,2023-09-24,2023,"10,832",348,3.21%,Finance,Not Specified,Private,Low,Medium,Unknown
Company50,United Kingdom,E-commerce,2023-04-06,2023,"47,454",1982,4.18%,Design,100M,Private,Low,Large,Early Stage
Company16,Germany,Fintech,2024-05-09,2024,"37,244",1735,4.66%,Marketing,1B,Private,Low,Large,Late Stage
Company12,United States,Social Media,2025-11-18,2025,"39,842",1100,2.76%,Finance,Not specified,Public,Low,Large,Unknown
Company23,United States,Social Media,2021-09-30,2021,"12,580",714,5.68%,Sales,100M,Public,Moderate,Medium,Early Stage
Stripe,Unknown,Cloud,2021-09-21,2021,"28,567",410,1.44%,Finance,Not Specified,Public,Low,Large,Unknown
Palantir,Unknown,Entertainment,2024-11-30,2024,"25,312",72,0.28%,Design,100M,IPO,Low,Large,Early Stage
Company25,Unknown,Hardware,2024-11-12,2024,"12,766",341,2.67%,HR,Not Specified,IPO,Low,Medium,Unknown
Company29,United States,Social Media,2023-10-17,2023,"4,216",92,2.18%,HR,2B,Series A,Low,Small,Late Stage
Company6,United States,Cloud,2025-01-24,2025,"38,234",1501,3.93%,Finance,100M,Private,Low,Large,Early Stage
Company10,Unknown,Social Media,2025-10-19,2025,"48,830",238,0.49%,Operations,1B,Private,Low,Large,Late Stage
Company32,United States,E-commerce,2025-04-16,2025,"46,678",482,1.03%,Finance,5B+,IPO,Low,Large,Mature
Company4,United Kingdom,Hardware,2021-05-27,2021,"30,954",419,1.35%,Product,500M,IPO,Low,Large,Growth Stage
Tesla,United Kingdom,Automotive,2023-07-23,2023,"11,985",NA,0.00%,Operations,1B,Series A,Low,Medium,Late Stage
Airbnb,Germany,Entertainment,2023-10-24,2023,"23,797",171,0.72%,Marketing,1B,IPO,Low,Large,Late Stage
Company17,United States,Cloud,2020-10-27,2020,"45,653",2298,5.03%,Sales,500M,Private,Moderate,Large,Growth Stage
Shopify,United States,Automotive,2022-08-12,2022,"18,500",1760,9.51%,Finance,Not Specified,IPO,Severe,Medium,Unknown
Company45,United States,Cloud,2021-11-20,2021,"35,678",NA,0.00%,Operations,Not specified,Private,Low,Large,Unknown
Company39,France,E-commerce,2022-07-02,2022,"2,843",134,4.71%,Product,5B+,IPO,Low,Small,Mature
Nvidia,United Kingdom,Software,2025-08-13,2025,"21,067",1981,9.40%,Marketing,100M,Series A,Severe,Large,Early Stage
Company39,United Kingdom,Entertainment,2021-07-18,2021,"27,807",2217,7.97%,Design,Not specified,Public,High,Large,Unknown
Twitter,France,Software,2023-06-14,2023,"49,970",4017,8.04%,Marketing,5B+,Private,Severe,Large,Mature
Google,United States,Social Media,2023-06-28,2023,"10,872",628,5.78%,Design,100M,Public,Moderate,Medium,Early Stage
Twitter,India,Cloud,2025-09-05,2025,"47,097",4073,8.65%,Operations,2B,Series A,Severe,Large,Late Stage
Company46,United States,Automotive,2023-01-25,2023,"22,947",443,1.93%,Operations,Not specified,Series A,Low,Large,Unknown
